,binomial,AdultBodyMassG,RedListStatus,total_pop,TrophicLevel,Order,Range_km_2
194,Macroderma gigas,124.37,VU,11906.0,Carnivore,CHIROPTERA,935481.309363477
195,Macrogalidia musschenbroekii,5148.86,VU,13500.0,Omnivore,CARNIVORA,23641.4523370519
196,Macropus eugenii,5278.48,LC,33541.0,Herbivore,DIPROTODONTIA,5323.2409235746
197,Macropus irma,8000.0,LC,33541.0,Herbivore,DIPROTODONTIA,61217.2706211079
198,Macrotis lagotis,1229.58,VU,11619.0,Herbivore,PERAMELEMORPHIA,887415.575141789
199,Madoqua guentheri,4623.7,LC,511000.0,Herbivore,CETARTIODACTYLA,507430.112744273
200,Madoqua kirkii,4833.4,LC,971000.0,Herbivore,CETARTIODACTYLA,208545.791476511
201,Madoqua piacentinii,2500.0,DD,30000.0,Herbivore,CETARTIODACTYLA,33818.2364556504
202,Madoqua saltiana,3424.47,LC,485600.0,Herbivore,CETARTIODACTYLA,454980.533056111
203,Marmota caudata,4350.0,LC,600000.0,Herbivore,RODENTIA,254732.734783996
204,Marmota menzbieri,3250.0,VU,22000.0,Herbivore,RODENTIA,2974.7522808211
205,Marmota olympus,6299.99,LC,4243.0,Herbivore,RODENTIA,5479.8068330915
206,Marmota vancouverensis,5232.43,CR,108.0,Herbivore,RODENTIA,2191.9227332366
207,Martes gwatkinsii,2038.49,VU,1500.0,Omnivore,CARNIVORA,23171.7546085012
208,Mastacomys fuscus,125.72,NT,67082.0,Herbivore,RODENTIA,40394.0046553602
209,Mazama bororo,18335.81714,VU,12750.0,Herbivore,CETARTIODACTYLA,16752.5523183083
210,Mesembriomys gouldii,716.49,VU,45000.0,Omnivore,RODENTIA,211207.411938298
211,Mesocapromys auritus,1533.200179,EN,1335.0,Omnivore,RODENTIA,83.6147911523437
212,Microcebus berthae,33.45,EN,12000.0,Omnivore,PRIMATES,469.6977285507
213,Microtus abbreviatus,66.06,LC,465531.0,Herbivore,RODENTIA,156.5659095169
214,Microtus breweri,54.0,VU,5477.0,Herbivore,RODENTIA,1.10928727734375
215,Microtus tatricus,40.0,LC,223607.0,Herbivore,RODENTIA,12838.4045803858
216,Mirza zaza,326.5,EN,54118.0,Carnivore,PRIMATES,2974.7522808211
217,Muntiacus crinifrons,18590.01,VU,7714.0,Herbivore,CETARTIODACTYLA,32252.5773604814
218,Mustela felipei,211.3,VU,2000.0,Carnivore,CARNIVORA,34601.0660032349
219,Myotis grisescens,10.84,NT,2000000.0,Carnivore,CHIROPTERA,467818.937636497
220,Myotis planiceps,9.597169811,EN,360.0,Carnivore,CHIROPTERA,12212.1409423182
221,Myrmecobius fasciatus,511.44,EN,1200.0,Carnivore,DASYUROMORPHIA,2661.6204617873
222,Myzopoda aurita,9.1,LC,172867.0,Carnivore,CHIROPTERA,27242.4682559406
223,Myzopoda schliemanni,9.1,LC,136437.0,Carnivore,CHIROPTERA,8141.4272948788
224,Nanger dama,71424.81,CR,212.0,Herbivore,CETARTIODACTYLA,185060.905048976
225,Nanger soemmerringii,41582.93,VU,6708.0,Herbivore,CETARTIODACTYLA,136682.039008254
226,Neofelis diardi,22500.0,VU,6750.0,Carnivore,CARNIVORA,462652.262622439
227,Neotragus batesi,2967.45,LC,219000.0,Herbivore,CETARTIODACTYLA,303737.864462786
228,Neotragus pygmaeus,3913.68,LC,62000.0,Herbivore,CETARTIODACTYLA,193202.332343855
229,Nesotragus moschatus,6499.0,LC,365000.0,Herbivore,CETARTIODACTYLA,327066.184980804
230,Nilgiritragus hylocrius,75000.0,EN,1897.0,Herbivore,CETARTIODACTYLA,1722.2250046859
231,Nomascus concolor,6410.47,CR,1612.0,Herbivore,PRIMATES,7984.8613853619
232,Nomascus hainanus,7790.0,CR,20.0,Herbivore,PRIMATES,156.5659095169
233,Nomascus nasutus,7124.094,CR,69.0,Herbivore,PRIMATES,2818.1863713042
234,Notomys aquilo,38.99,EN,15000.0,Herbivore,RODENTIA,1722.2250046859
235,Notomys cervinus,34.79,NT,28460.0,Herbivore,RODENTIA,11429.3113947337
236,Notoryctes typhlops,55.0,LC,47434.0,Carnivore,NOTORYCTEMORPHIA,916536.834311932
237,Nyctalus azoreum,28.97666667,VU,3162.0,Carnivore,CHIROPTERA,469.6977285507
238,Ochotona iliensis,165.0,EN,1000.0,Herbivore,LAGOMORPHA,2191.9227332366
239,Okapia johnstoni,230001.1,EN,41833.0,Herbivore,CETARTIODACTYLA,225298.343794819
240,Onychogalea fraenata,4952.05,VU,1407.0,Herbivore,DIPROTODONTIA,3914.1477379225
241,Oreamnos americanus,72105.4,LC,97570.0,Herbivore,CETARTIODACTYLA,445116.880756547
242,Oreotragus oreotragus,13486.55,LC,42000.0,Herbivore,CETARTIODACTYLA,2564862.72970586
243,Ornithorhynchus anatinus,1484.25,NT,103308.705,Carnivore,MONOTREMATA,904011.56155058
244,Oryx beisa,200576.5,NT,47021.27,Herbivore,CETARTIODACTYLA,904794.391098165
245,Oryx gazella,188404.5,LC,373000.0,Herbivore,CETARTIODACTYLA,1478295.31765857
246,Oryx leucoryx,75788.24,VU,1220.0,Herbivore,CETARTIODACTYLA,20510.1341467139
247,Otocolobus manul,3500.0,NT,20500.0,Carnivore,CARNIVORA,2895843.06242458
248,Ourebia ourebi,17186.09,LC,750000.0,Herbivore,CETARTIODACTYLA,3606808.85754082
249,Ovibos moschatus,312500.0,LC,203109.0,Herbivore,CETARTIODACTYLA,747445.65203368
250,Ovis ammon,113998.7,NT,93187.0,Herbivore,CETARTIODACTYLA,137778.000374872
251,Ovis canadensis,74644.87,LC,62900.0,Herbivore,CETARTIODACTYLA,52293.0137786446
252,Ovis dalli,70194.13,LC,113973.0,Herbivore,CETARTIODACTYLA,64192.022901929
253,Ovis nivicola,90000.0,LC,89861.0,Herbivore,CETARTIODACTYLA,78752.6524870007
254,Ozotoceros bezoarticus,34620.4,NT,40000.0,Herbivore,CETARTIODACTYLA,226394.305161437
255,Pan troglodytes,45000.0,EN,402679.0,Herbivore,PRIMATES,2124755.95805385
256,Panthera leo,158623.9,VU,32000.0,Carnivore,CARNIVORA,1455436.6948691
257,Panthera onca,83943.09,NT,64000.0,Carnivore,CARNIVORA,8948211.42661938
258,Panthera tigris,161914.7,EN,3913.0,Carnivore,CARNIVORA,569586.778822482
259,Panthera uncia,41000.0,VU,7500.0,Carnivore,CARNIVORA,2242180.39019152
260,Pantholops hodgsonii,32733.12,NT,225000.0,Herbivore,CETARTIODACTYLA,156.5659095169
261,Parantechinus apicalis,71.31,EN,1050.0,Carnivore,DASYUROMORPHIA,2974.7522808211
262,Pelea capreolus,22731.33,NT,18000.0,Herbivore,CETARTIODACTYLA,67166.7751827501
263,Pentalagus furnessi,2253.25,EN,5000.0,Herbivore,LAGOMORPHA,156.5659095169
264,Perameles bougainville,230.8,VU,3354.0,Omnivore,PERAMELEMORPHIA,156.5659095169
265,Perameles gunnii,903.46,VU,37723.005,Omnivore,PERAMELEMORPHIA,9863.6522995647
266,Peromyscus mekisturus,59.99,CR,11.0,Omnivore,RODENTIA,2974.7522808211
267,Petauroides volans,1257.17,VU,237171.0,Herbivore,DIPROTODONTIA,218409.443776075
268,Petaurus australis,567.15,NT,237171.0,Omnivore,DIPROTODONTIA,120868.882147047
269,Petrogale concinna,1398.2,EN,10607.0,Herbivore,DIPROTODONTIA,81414.272948788
270,Petrogale godmani,4750.0,NT,15000.0,Herbivore,DIPROTODONTIA,36166.7250984039
271,Petrogale lateralis,4567.88,VU,10954.0,Herbivore,DIPROTODONTIA,108030.477566661
272,Petrogale mareeba,4644.155385,NT,15000.0,Herbivore,DIPROTODONTIA,19570.7386896125
273,Petrogale penicillata,6931.6,VU,21213.0,Herbivore,DIPROTODONTIA,53388.9751452629
274,Petrogale purpureicollis,4500.0,NT,12500.0,Herbivore,DIPROTODONTIA,81101.1411297542
275,Petrogale sharmani,4644.155385,VU,800.0,Herbivore,DIPROTODONTIA,17535.3818658928
276,Phalanger matanim,1442.38,CR,60.0,Omnivore,DIPROTODONTIA,156.5659095169
277,Phascogale tapoatafa,192.65,NT,22500.0,Omnivore,DASYUROMORPHIA,149207.311769606
278,Phascolarctos cinereus,6528.74,VU,423965.0,Herbivore,DIPROTODONTIA,655698.029056777
279,Philantomba maxwellii,8557.69,LC,2137000.0,Omnivore,CETARTIODACTYLA,246121.609760567
280,Phyllonycteris aphylla,14.15,CR,375.0,Herbivore,CHIROPTERA,313.1318190338
281,Piliocolobus gordonorum,3977.86,EN,15400.0,Herbivore,PRIMATES,782.8295475845
282,Pipistrellus maderensis,5.93375,VU,47.0,Carnivore,CHIROPTERA,469.6977285507
283,Poiana leightoni,570.08,VU,12278.0,Omnivore,CARNIVORA,34757.6319127518
284,Pongo abelii,39696.12,CR,13846.0,Omnivore,PRIMATES,17691.9477754097
285,Pongo pygmaeus,53408.29,CR,104700.0,Omnivore,PRIMATES,82666.8002249232
286,Porcula salvania,9200.0,CR,474.0,Omnivore,CETARTIODACTYLA,939.3954571014
287,Potorous gilbertii,1569.46,CR,73.5,Herbivore,DIPROTODONTIA,17.1015131328125
288,Potorous longipes,1835.06,VU,4500.0,Omnivore,DIPROTODONTIA,2348.4886427535
289,Potorous tridactylus,1054.67,NT,112500.0,Omnivore,DIPROTODONTIA,72176.8842872909
290,Presbytis chrysomelas,6630.0,CR,354.0,Herbivore,PRIMATES,8767.6909329464
291,Presbytis potenziani,6449.53,EN,36000.0,Herbivore,PRIMATES,1565.659095169
292,Prionailurus planiceps,3533.76,EN,3749.0,Carnivore,CARNIVORA,88146.6070580147
293,Procapra gutturosa,28274.27,LC,1000000.0,Herbivore,CETARTIODACTYLA,290273.196244333
294,Procapra picticaudata,23197.67,NT,150000.0,Herbivore,CETARTIODACTYLA,52293.0137786446
295,Procapra przewalskii,27499.99,EN,1469.0,Herbivore,CETARTIODACTYLA,939.3954571014
296,Procyon pygmaeus,2958.03,CR,465.0,Omnivore,CARNIVORA,313.1318190338
297,Propithecus coquereli,4189.27,EN,200000.0,Herbivore,PRIMATES,2348.4886427535
298,Propithecus perrieri,6500.0,CR,500.0,Herbivore,PRIMATES,156.5659095169
299,Propithecus tattersalli,3531.39,CR,7746.0,Herbivore,PRIMATES,1565.659095169
300,Pseudantechinus bilarni,23.05,LC,17321.0,Carnivore,DASYUROMORPHIA,131985.061722747
301,Pseudantechinus mimulus,17.0,NT,106.0,Carnivore,DASYUROMORPHIA,2974.7522808211
302,Pseudochirulus cinereus,977.48,NT,54943.0,Herbivore,DIPROTODONTIA,782.8295475845
303,Pseudois nayaur,52334.57,LC,209238.0,Herbivore,CETARTIODACTYLA,1276638.4262008
304,Pseudomys australis,52.97,VU,15000.0,Omnivore,RODENTIA,42742.4932981137
305,Pseudomys calabyi,13.0,VU,22500.0,Omnivore,RODENTIA,20510.1341467139
306,Pseudomys fieldi,42.35,VU,15000.0,Omnivore,RODENTIA,156.5659095169
307,Pseudomys fumeus,68.75,VU,106.0,Herbivore,RODENTIA,12994.9704899027
308,Pseudomys novaehollandiae,16.8,VU,12000.0,Omnivore,RODENTIA,56050.5956070502
309,Pseudomys oralis,95.0,VU,7500.0,Omnivore,RODENTIA,15656.59095169
310,Pseudomys shortridgei,72.06,NT,16500.0,Omnivore,RODENTIA,1722.2250046859
311,Pseudoryx nghetinhensis,97842.2,CR,195.0,Herbivore,CETARTIODACTYLA,12994.9704899027
312,Pteralopex taki,452.2333333,VU,822.0,Herbivore,CHIROPTERA,1722.2250046859
313,Pteropus aldabrensis,310.29,VU,400.0,Herbivore,CHIROPTERA,156.5659095169
314,Pteropus dasymallus,491.86,VU,6364.0,Herbivore,CHIROPTERA,1565.659095169
315,Pteropus livingstonii,734.27,CR,1300.0,Herbivore,CHIROPTERA,313.1318190338
316,Pteropus mariannus,458.58,EN,10049.0,Herbivore,CHIROPTERA,626.2636380676
317,Pteropus niger,474.43,VU,62500.0,Herbivore,CHIROPTERA,1878.7909142028
318,Pteropus pselaphon,452.5545,EN,346.0,Herbivore,CHIROPTERA,313.1318190338
319,Pteropus rodricensis,256.17,EN,30000.0,Herbivore,CHIROPTERA,156.5659095169
320,Pteropus rufus,452.5545,VU,450000.0,Herbivore,CHIROPTERA,7671.7295663281
321,Pteropus seychellensis,492.2,LC,10000.0,Herbivore,CHIROPTERA,156.5659095169
322,Pygathrix cinerea,10050.0,CR,620.0,Herbivore,PRIMATES,12525.272761352
323,Rangifer tarandus,109088.5,VU,2890410.0,Herbivore,CETARTIODACTYLA,4485456.74174967
324,Raphicerus melanotis,10503.14,LC,231448.0,Herbivore,CETARTIODACTYLA,43212.1910266644
325,Raphicerus sharpei,9396.9,LC,95000.0,Herbivore,CETARTIODACTYLA,947850.016215312
326,Redunca arundinum,58059.24,LC,73000.0,Herbivore,CETARTIODACTYLA,638788.910828952
327,Reithrodontomys spectabilis,20.19,CR,152.0,Herbivore,RODENTIA,469.6977285507
328,Rhinoceros sondaicus,1750000.0,CR,83.0,Herbivore,PERISSODACTYLA,28338.4296225589
329,Rhinoceros unicornis,1843656.0,VU,2575.0,Herbivore,PERISSODACTYLA,69358.6979159867
330,Rhinopithecus brelichi,12267.15,EN,750.0,Herbivore,PRIMATES,469.6977285507
331,Rhinopithecus strykeri,11452.67,CR,439.0,Herbivore,PRIMATES,156.5659095169
332,Rhinopoma hadramauticum,9.13,EN,225.0,Carnivore,CHIROPTERA,156.5659095169
333,Rhynchocyon chrysopygus,535.2,EN,14142.0,Carnivore,MACROSCELIDEA,313.1318190338
334,Rhynchocyon udzungwensis,711.0,VU,18974.0,Carnivore,MACROSCELIDEA,156.5659095169
335,Romerolagus diazi,465.58,EN,5480.0,Herbivore,LAGOMORPHA,313.1318190338
336,Rucervus duvaucelii,171223.9,VU,4225.0,Herbivore,CETARTIODACTYLA,34444.500093718
337,Rucervus eldii,95471.61,EN,7000.0,Herbivore,CETARTIODACTYLA,24267.7159751195
338,Rungwecebus kipunji,13.0,CR,1117.0,Herbivore,PRIMATES,156.5659095169
339,Rupicapra pyrenaica,29999.99,LC,75000.0,Herbivore,CETARTIODACTYLA,12525.272761352
340,Rupicapra rupicapra,33266.35,LC,682500.0,Herbivore,CETARTIODACTYLA,176606.345935063
341,Rusa alfredi,46475.04,EN,1050.0,Herbivore,CETARTIODACTYLA,1095.9613666183
342,Rusa timorensis,66375.5,VU,14998.5,Herbivore,CETARTIODACTYLA,4070.7136474394
343,Saguinus oedipus,462.04,CR,6000.0,Omnivore,PRIMATES,9393.954571014
344,Saiga tatarica,37734.01,CR,50000.0,Herbivore,CETARTIODACTYLA,64818.2865399966
345,Saimiri oerstedii,714.18,VU,1530.0,Omnivore,PRIMATES,3287.8840998549
346,Santamartamys rufodorsalis,148.0,CR,11.0,Herbivore,RODENTIA,89.5228536679687
347,Sapajus flavius,2920.0,CR,1000.0,Omnivore,PRIMATES,2974.7522808211
348,Sarcophilus harrisii,8202.25,EN,23717.0,Carnivore,DASYUROMORPHIA,52762.7115071953
349,Semnopithecus ajax,17200.0,EN,500.0,Herbivore,PRIMATES,3287.8840998549
350,Setonix brachyurus,3027.67,VU,17404.0,Herbivore,DIPROTODONTIA,15030.3273136224
351,Simias concolor,7393.9,CR,10766.0,Herbivore,PRIMATES,5166.6750140577
352,Sminthopsis leucopus,23.36,LC,13416.0,Carnivore,DASYUROMORPHIA,52136.4478691277
353,Sminthopsis psammophila,33.5,VU,10607.0,Carnivore,DASYUROMORPHIA,7202.0318377774
354,Spalax giganteus,211.245,LC,1000.0,Herbivore,RODENTIA,25989.9409798054
355,Speothos venaticus,6324.54,NT,110000.0,Carnivore,CARNIVORA,9891677.59736822
356,Sylvicapra grimmia,15639.15,LC,4074310.0,Herbivore,CETARTIODACTYLA,12745091.2983137
357,Syncerus caffer,592666.0,LC,570996.0,Herbivore,CETARTIODACTYLA,6123762.41893451
358,Tapirus bairdii,293781.6,EN,4500.0,Herbivore,PERISSODACTYLA,225298.343794819
359,Tapirus indicus,311209.2,EN,3750.0,Herbivore,PERISSODACTYLA,27242.4682559406
360,Tapirus pinchaque,156923.4,EN,3750.0,Herbivore,PERISSODACTYLA,44934.4160313503
361,Tarsius sangirensis,165.0,EN,8909.0,Carnivore,PRIMATES,469.6977285507
362,Tarsius tumpara,122.6825,CR,4115.126,Carnivore,PRIMATES,115.182945287842
363,Tetracerus quadricornis,19282.12,VU,12550.0,Herbivore,CETARTIODACTYLA,280252.978035251
364,Theropithecus gelada,15964.11,LC,200000.0,Herbivore,PRIMATES,469.6977285507
365,Trachypithecus delacouri,9000.0,CR,224.0,Herbivore,PRIMATES,2505.0545522704
366,Trachypithecus francoisi,8139.93,EN,2021.0,Herbivore,PRIMATES,69828.3956445374
367,Trachypithecus geei,8356.0,EN,5500.0,Herbivore,PRIMATES,2974.7522808211
368,Trachypithecus poliocephalus,9000.0,CR,1219.0,Herbivore,PRIMATES,109.879648572266
369,Tragelaphus angasii,87616.76,LC,36500.0,Herbivore,CETARTIODACTYLA,170343.709554387
370,Tragelaphus buxtoni,215000.8,EN,4000.0,Herbivore,CETARTIODACTYLA,5166.6750140577
371,Tragelaphus derbianus,663012.125,VU,12961.0,Herbivore,CETARTIODACTYLA,382177.385130753
372,Tragelaphus eurycerus,270998.4,NT,28000.0,Herbivore,CETARTIODACTYLA,1318911.22177037
373,Tragelaphus imberbis,94320.39,NT,118000.0,Herbivore,CETARTIODACTYLA,1188961.51687134
374,Tragelaphus oryx,492500.0,LC,136000.0,Herbivore,CETARTIODACTYLA,4424865.73476663
375,Tragelaphus scriptus,43250.39,LC,1340000.0,Herbivore,CETARTIODACTYLA,11390483.0491735
376,Tragelaphus spekii,75554.25,LC,155885.0,Herbivore,CETARTIODACTYLA,2348801.77457253
377,Tragelaphus strepsiceros,206056.4,LC,482000.0,Herbivore,CETARTIODACTYLA,3900369.93788501
378,Tremarctos ornatus,123177.0,VU,15297.0,Herbivore,CARNIVORA,204475.077829071
379,Urocyon littoralis,1923.0,NT,5500.0,Omnivore,CARNIVORA,469.6977285507
380,Uromys hadrourus,149.11,NT,30000.0,Omnivore,RODENTIA,313.1318190338
381,Ursus americanus,110500.0,LC,898610.0,Omnivore,CARNIVORA,6720435.10010341
382,Ursus arctos,196287.5,LC,220000.0,Omnivore,CARNIVORA,12849990.45769
383,Ursus maritimus,371703.8,VU,26000.0,Omnivore,CARNIVORA,2638918.40490735
384,Vicugna vicugna,47499.61,LC,525000.0,Herbivore,CETARTIODACTYLA,290116.630334816
385,Vulpes pallida,2800.01,LC,47434.0,Omnivore,CARNIVORA,4083395.48611027
386,Wyulda squamicaudata,1799.21,NT,10607.0,Omnivore,DIPROTODONTIA,78596.0865774838
387,Xeromys myoides,45.2,VU,23717.0,Omnivore,RODENTIA,782.8295475845
388,Zyzomys maini,93.99,VU,30000.0,Herbivore,RODENTIA,21136.3977847815
389,Zyzomys palatalis,123.0,CR,1500.0,Herbivore,RODENTIA,2505.0545522704
390,Zyzomys pedunculatus,100.0,CR,1200.0,Herbivore,RODENTIA,6888.9000187436
391,Loxodonta cyclotis,3824540.0,CR,100000.0,Herbivore,PROBOSCIDEA,421945.126148045
